序号,状态,开始帧,结束帧,持续帧数,开始时间(秒),结束时间(秒),持续时间(秒)
1,现实世界,7,12,6,0.12,0.2,0.1
2,现实世界,23,30,8,0.38,0.5,0.13
3,现实世界,36,41,6,0.6,0.68,0.1
4,现实世界,53,59,7,0.88,0.98,0.12
5,现实世界,61,68,8,1.02,1.13,0.13
6,现实世界,70,75,6,1.17,1.25,0.1
7,现实世界,87,91,5,1.45,1.52,0.08
8,虚拟世界,92,96,5,1.53,1.6,0.08
9,现实世界,107,114,8,1.78,1.9,0.13
10,现实世界,119,128,10,1.98,2.13,0.17
11,现实世界,135,140,6,2.25,2.33,0.1
12,现实世界,158,163,6,2.63,2.72,0.1
13,现实世界,170,179,10,2.83,2.98,0.17
14,现实世界,181,186,6,3.02,3.1,0.1
15,现实世界,190,199,10,3.17,3.32,0.17
16,现实世界,201,206,6,3.35,3.43,0.1
17,现实世界,211,321,111,3.52,5.35,1.85
18,现实世界,323,370,48,5.38,6.17,0.8
19,现实世界,374,379,6,6.23,6.32,0.1
20,现实世界,381,427,47,6.35,7.12,0.78
21,现实世界,430,485,56,7.17,8.08,0.93
22,现实世界,492,513,22,8.2,8.55,0.37
23,虚拟世界,517,524,8,8.62,8.73,0.13
24,现实世界,550,610,61,9.17,10.17,1.02
25,现实世界,612,622,11,10.2,10.37,0.18
26,现实世界,625,631,7,10.42,10.52,0.12
27,现实世界,633,638,6,10.55,10.63,0.1
28,现实世界,640,645,6,10.67,10.75,0.1
29,虚拟世界,653,657,5,10.88,10.95,0.08
30,现实世界,658,666,9,10.97,11.1,0.15
31,现实世界,675,697,23,11.25,11.62,0.38
32,现实世界,701,705,5,11.68,11.75,0.08
33,现实世界,707,732,26,11.78,12.2,0.43
34,现实世界,734,738,5,12.23,12.3,0.08
35,现实世界,748,756,9,12.47,12.6,0.15
36,现实世界,758,793,36,12.63,13.22,0.6
37,现实世界,802,808,7,13.37,13.47,0.12
38,现实世界,811,817,7,13.52,13.62,0.12
39,现实世界,819,868,50,13.65,14.47,0.83
40,现实世界,870,876,7,14.5,14.6,0.12
41,现实世界,885,890,6,14.75,14.83,0.1
42,现实世界,892,896,5,14.87,14.93,0.08
43,现实世界,898,1010,113,14.97,16.83,1.88
44,现实世界,1012,1016,5,16.87,16.93,0.08
45,现实世界,1019,1025,7,16.98,17.08,0.12
46,现实世界,1027,1039,13,17.12,17.32,0.22
47,现实世界,1049,1093,45,17.48,18.22,0.75
48,现实世界,1096,1104,9,18.27,18.4,0.15
49,现实世界,1106,1270,165,18.43,21.17,2.75
50,现实世界,1280,1299,20,21.33,21.65,0.33
51,现实世界,1303,1329,27,21.72,22.15,0.45
52,现实世界,1340,1346,7,22.33,22.43,0.12
53,现实世界,1348,1357,10,22.47,22.62,0.17
54,现实世界,1362,1373,12,22.7,22.88,0.2
55,现实世界,1386,1390,5,23.1,23.17,0.08
56,现实世界,1396,1400,5,23.27,23.33,0.08
57,现实世界,1403,1407,5,23.38,23.45,0.08
58,现实世界,1409,1413,5,23.48,23.55,0.08
59,现实世界,1419,1427,9,23.65,23.78,0.15
60,现实世界,1429,1434,6,23.82,23.9,0.1
61,现实世界,1440,1474,35,24.0,24.57,0.58
62,现实世界,1476,1484,9,24.6,24.73,0.15
63,现实世界,1488,1492,5,24.8,24.87,0.08
64,现实世界,1499,1503,5,24.98,25.05,0.08
65,现实世界,1505,1509,5,25.08,25.15,0.08
66,现实世界,1514,1519,6,25.23,25.32,0.1
67,现实世界,1527,1533,7,25.45,25.55,0.12
68,现实世界,1535,1548,14,25.58,25.8,0.23
69,现实世界,1552,1565,14,25.87,26.08,0.23
70,现实世界,1570,1574,5,26.17,26.23,0.08
71,现实世界,1576,1598,23,26.27,26.63,0.38
72,现实世界,1600,1604,5,26.67,26.73,0.08
73,现实世界,1607,1611,5,26.78,26.85,0.08
74,现实世界,1613,1632,20,26.88,27.2,0.33
75,现实世界,1634,1671,38,27.23,27.85,0.63
76,现实世界,1673,1710,38,27.88,28.5,0.63
77,现实世界,1712,1775,64,28.53,29.58,1.07
78,现实世界,1777,1783,7,29.62,29.72,0.12
79,虚拟世界,1798,1802,5,29.97,30.03,0.08
80,现实世界,1803,1808,6,30.05,30.13,0.1
81,现实世界,1815,1827,13,30.25,30.45,0.22
82,现实世界,1829,1838,10,30.48,30.63,0.17
