Mode,Range_Start,Range_End,Times,Duration,Percentage,Color,Description,Col9,Col10,Col11,Col12,Col13
Mode,Range_Start,Range_End,Times,Duration,Percentage,Color,Description,,,,,
1,0,20000,2,1.15,1.28%,#FF6B6B,Mode 1 (0-20000),,,,,
2,20000,40000,23,20.216666666666665,22.46%,#4ECDC4,Mode 2 (20000-40000),,,,,
3,40000,60000,1,0.45,0.50%,#45B7D1,Mode 3 (40000-60000),,,,,
4,60000,80000,35,33.766666666666666,37.52%,#96CEB4,Mode 4 (60000-80000),,,,,
5,80000,100000,8,3.8833333333333333,4.31%,#FFEAA7,Mode 5 (80000-100000),,,,,
6,100000,120000,27,28.0,31.11%,#DDA0DD,Mode 6 (100000-120000),,,,,
7,120000,140000,5,2.6333333333333333,2.93%,#98D8C8,Mode 7 (120000-140000),,,,,
8,140000,160000,24,31.833333333333332,35.37%,#F7DC6F,Mode 8 (140000-160000),,,,,
9,160000,180000,14,10.15,11.28%,#BB8FCE,Mode 9 (160000-180000),,,,,
10,180000,200000,16,25.983333333333334,28.87%,#85C1E9,Mode 10 (180000-200000),,,,,
11,200000,220000,2,2.466666666666667,2.74%,#F8C471,Mode 11 (200000-220000),,,,,
12,220000,240000,21,21.2,23.56%,#82E0AA,Mode 12 (220000-240000),,,,,
