标记名称,描述,入点,出点,持续时间,标记类型,Unnamed: 6
,,21429,21593,164,注释,
,,21707,21781,74,注释,
,,21920,21946,26,注释,
,,22346,22460,114,注释,
,,23217,23281,64,注释,
,,23738,23797,59,注释,
,,24687,24778,91,注释,
,,25026,25079,53,注释,
,,25340,25417,77,注释,
,,25619,25807,188,注释,
,,26081,26126,45,注释,
,,26158,26181,23,注释,
,,26310,26352,42,注释,
,,43705,43742,37,注释,
,,43858,43891,33,注释,
,,60959,61079,120,注释,
,,61126,61220,94,注释,
,,61293,61414,121,注释,
,,61455,61505,50,注释,
,,61534,61632,98,注释,
,,61695,61799,104,注释,
,,61839,61980,141,注释,
,,62046,62074,28,注释,
,,62116,62212,96,注释,
,,62241,62317,76,注释,
,,62341,62430,89,注释,
,,62456,62580,124,注释,
,,62622,62709,87,注释,
,,62766,62884,118,注释,
,,62920,62999,79,注释,
,,63038,63240,202,注释,
,,63299,63309,10,注释,
,,63361,63469,108,注释,
,,63504,63684,180,注释,
,,63725,63905,180,注释,
,,63945,64048,103,注释,
,,64112,64287,175,注释,
,,64327,64475,148,注释,
,,64523,64644,121,注释,
,,64719,64824,105,注释,
,,64856,64927,71,注释,
,,64980,65070,90,注释,
,,65126,65198,72,注释,
,,65267,65310,43,注释,
,,65412,65514,102,注释,
,,65614,65722,108,注释,
,,65787,65905,118,注释,
,,65941,66004,63,注释,
,,66058,66133,75,注释,
,,66170,66230,60,注释,
,,100810,100892,82,注释,
,,100984,101063,79,注释,
,,101127,101211,84,注释,
,,101317,101393,76,注释,
,,101437,101511,74,注释,
,,101573,101703,130,注释,
,,101773,101913,140,注释,
,,101941,102056,115,注释,
,,102102,102207,105,注释,
,,102252,102352,100,注释,
,,102382,102437,55,注释,
,,102495,102575,80,注释,
,,102648,102721,73,注释,
,,102781,102832,51,注释,
,,102885,103000,115,注释,
,,103034,103091,57,注释,
,,103123,103146,23,注释,
,,103174,103215,41,注释,
,,103227,103351,124,注释,
,,103379,103455,76,注释,
,,103559,103634,75,注释,
,,103841,103907,66,注释,
,,103947,103994,47,注释,
,,104039,104113,74,注释,
,,104174,104240,66,注释,
,,104276,104316,40,注释,
,,104400,104466,66,注释,
,,104580,104638,58,注释,
,,104734,104754,20,注释,
,,104889,104935,46,注释,
,,105061,105160,99,注释,
,,105252,105337,85,注释,
,,105452,105614,162,注释,
,,105685,105745,60,注释,
,,105815,105862,47,注释,
,,105979,106052,73,注释,
,,106143,106147,4,注释,
,,124256,124284,28,注释,
,,125013,125044,31,注释,
,,125302,125393,91,注释,
,,125624,125628,4,注释,
,,125684,125690,6,注释,
,,140945,141081,136,注释,
,,141167,141222,55,注释,
,,141378,141430,52,注释,
,,141442,141507,65,注释,
