Mode,Range_Start,Range_End,Times,Duration,Percentage,Color,Description,Col9,Col10,Col11,Col12,Col13
Mode,Range_Start,Range_End,Times,Duration,Percentage,Color,Description,,,,,
1,0,20000,0,0.0,0.00%,#FF6B6B,Mode 1 (0-20000),,,,,
2,20000,40000,13,14.233333333333333,15.81%,#4ECDC4,Mode 2 (20000-40000),,,,,
3,40000,60000,2,0.5333333333333333,0.59%,#45B7D1,Mode 3 (40000-60000),,,,,
4,60000,80000,33,31.316666666666666,34.80%,#96CEB4,Mode 4 (60000-80000),,,,,
5,80000,100000,1,0.35,0.39%,#FFEAA7,Mode 5 (80000-100000),,,,,
6,100000,120000,18,26.166666666666668,29.07%,#DDA0DD,Mode 6 (100000-120000),,,,,
7,120000,140000,0,0.0,0.00%,#98D8C8,Mode 7 (120000-140000),,,,,
8,140000,160000,2,0.4166666666666667,0.46%,#F7DC6F,Mode 8 (140000-160000),,,,,
9,160000,180000,21,28.45,31.61%,#BB8FCE,Mode 9 (160000-180000),,,,,
10,180000,200000,5,1.9166666666666667,2.13%,#85C1E9,Mode 10 (180000-200000),,,,,
11,200000,220000,16,28.166666666666668,31.30%,#F8C471,Mode 11 (200000-220000),,,,,
12,220000,240000,45,32.81666666666667,36.46%,#82E0AA,Mode 12 (220000-240000),,,,,
