Mode,Range_Start,Range_End,Times,Duration,Percentage,Color,Description,Col9,Col10,Col11,Col12,Col13
Mode,Range_Start,Range_End,Times,Duration,Percentage,Color,Description,,,,,
1,0,20000,22,30.68,0.34,#FF6B6B,Mode 1 (0-20000),,,,,
2,20000,40000,23,43.23,0.48,#4ECDC4,Mode 2 (20000-40000),,,,,
3,40000,60000,29,69.2,0.77,#45B7D1,Mode 3 (40000-60000),,,,,
4,60000,80000,26,69.23,0.77,#96CEB4,Mode 4 (60000-80000),,,,,
5,80000,100000,42,68.35,0.76,#FFEAA7,Mode 5 (80000-100000),,,,,
6,100000,120000,27,77.05,0.86,#DDA0DD,Mode 6 (100000-120000),,,,,
7,120000,140000,38,54.18,0.60,#98D8C8,Mode 7 (120000-140000),,,,,
8,140000,160000,20,74.1,0.82,#F7DC6F,Mode 8 (140000-160000),,,,,
9,160000,180000,50,49.08,0.55,#BB8FCE,Mode 9 (160000-180000),,,,,
10,180000,200000,31,56.47,0.63,#85C1E9,Mode 10 (180000-200000),,,,,
11,200000,220000,8,10.62,0.12,#F8C471,Mode 11 (200000-220000),,,,,
12,220000,240000,28,60.42,0.67,#82E0AA,Mode 12 (220000-240000),,,,,
