标记名称,描述,入点,出点,持续时间,标记类型,,mode,duration,percentage,times
1,,962,1115,153,注释,,1,30.68333333,34%,22
,,1212,1288,76,注释,,2,43.23333333,48%,23
,,1317,1388,71,注释,,3,46.13333333,51%,29
,,1471,1515,44,注释,,4,69.23333333,77%,26
,,1768,1859,91,注释,,5,68.35,76%,42
,,2078,2103,25,注释,,6,77.05,86%,27
,,2291,2428,137,注释,,7,54.18333333,60%,38
,,2666,2682,16,注释,,8,74.1,82%,20
,,2712,2742,30,注释,,9,49.08333333,55%,50
,,2902,3000,98,注释,,10,56.46666667,63%,31
,,3147,3277,130,注释,,11,10.61666667,12%,8
,,3393,3445,52,注释,,12,60.41666667,67%,28
,,3538,3621,83,注释,,,,,
,,4480,4637,157,注释,,,,,
,,4656,4758,102,注释,,,,,
,,4804,4941,137,注释,,,,,
,,5055,5164,109,注释,,,,,
,,5231,5291,60,注释,,,,,
,,5372,5411,39,注释,,,,,
,,5564,5659,95,注释,,,,,
,,5700,5798,98,注释,,,,,
,,6056,6094,38,注释,,,,,
2,,25600,25624,24,注释,,,,,
,,25710,25737,27,注释,,,,,
,,25820,26023,203,注释,,,,,
,,26036,26039,3,注释,,,,,
,,26061,26174,113,注释,,,,,
,,26588,26829,241,注释,,,,,
,,26947,26966,19,注释,,,,,
,,27071,27189,118,注释,,,,,
,,27251,27368,117,注释,,,,,
,,27395,27492,97,注释,,,,,
,,27739,27910,171,注释,,,,,
,,28002,28045,43,注释,,,,,
,,28116,28158,42,注释,,,,,
,,28220,28353,133,注释,,,,,
,,28425,28469,44,注释,,,,,
,,28514,28599,85,注释,,,,,
,,28836,29168,332,注释,,,,,
,,29265,29501,236,注释,,,,,
,,29608,29625,17,注释,,,,,
,,29736,29797,61,注释,,,,,
,,29889,30007,118,注释,,,,,
,,30232,30375,143,注释,,,,,
,,30588,30795,207,注释,,,,,
3,,41007,41046,39,注释,,,,,
,,41069,41798,729,注释,,,,,
,,41810,42022,212,注释,,,,,
,,42033,42232,199,注释,,,,,
,,42246,42252,6,注释,,,,,
,,42281,42733,452,注释,,,,,
,,42742,44491,1749,注释,,,,,
,,44515,44538,23,注释,,,,,
,,44539,44731,192,注释,,,,,
,,44735,44820,85,注释,,,,,
,,44844,44946,102,注释,,,,,
,,44965,44994,29,注释,,,,,
,,44999,45053,54,注释,,,,,
,,45058,45083,25,注释,,,,,
,,45087,45107,20,注释,,,,,
,,45214,45235,21,注释,,,,,
,,45314,45326,12,注释,,,,,
,,45342,45347,5,注释,,,,,
,,45353,45373,20,注释,,,,,
,,45414,45427,13,注释,,,,,
,,45458,45514,56,注释,,,,,
,,45519,45525,6,注释,,,,,
,,45577,45581,4,注释,,,,,
,,45590,45593,3,注释,,,,,
,,45610,45622,12,注释,,,,,
,,45630,45646,16,注释,,,,,
,,46121,46127,6,注释,,,,,
,,46132,46164,32,注释,,,,,
,,46173,46203,30,注释,,,,,
4,,60927,61055,128,注释,,,,,
,,61077,61189,112,注释,,,,,
,,61220,61426,206,注释,,,,,
,,61480,61518,38,注释,,,,,
,,61535,62443,908,注释,,,,,
,,62479,62539,60,注释,,,,,
,,62590,62672,82,注释,,,,,
,,62706,62929,223,注释,,,,,
,,63032,63169,137,注释,,,,,
,,63193,63291,98,注释,,,,,
,,63312,63402,90,注释,,,,,
,,63472,63547,75,注释,,,,,
,,63558,63665,107,注释,,,,,
,,63706,64256,550,注释,,,,,
,,64283,64346,63,注释,,,,,
,,64375,64521,146,注释,,,,,
,,64599,64638,39,注释,,,,,
,,64671,64787,116,注释,,,,,
,,64853,64887,34,注释,,,,,
,,64929,65030,101,注释,,,,,
,,65130,65146,16,注释,,,,,
,,65174,65310,136,注释,,,,,
,,65318,65614,296,注释,,,,,
,,65673,65882,209,注释,,,,,
,,65906,65966,60,注释,,,,,
,,66009,66133,124,注释,,,,,
5,,81541,81545,4,注释,,,,,
,,81577,81760,183,注释,,,,,
,,81780,82063,283,注释,,,,,
